,file_name,title,date,coperta,pot_city_name,city_name,latitude,longitude,pot_city_name_fuzzy,inferred_composer,city_not_nan,location_city,inferred_latitude,inferred_longitude,inferred_location,inferred_title,title_mediawiki_pageid,composer_mediawiki_pageid,inferred_genre,inferred_occasion,original_sources
0,data_155.json,"Cesare in Egitto, dramma per musica da rappresentarsi nel Teatro Giustinian di S. Mosè l'autunno dell'anno 1746",1746,"['S209', '.', 'Ah', '""', 'CESARE', 'IN', 'EGITTO', 'DRAMMA', 'PER', 'MUSICA', 'Da', 'Rapprefentari', 'nel', '‘Teatro', 'GIUSIINIAN', 'di', 'S', '.', 'MOSE', '’', 'L', '’', 'Avronno', 'puts', '?', 'Asno', '5746', ',', 'IN', 'VENEZIAMDCCXLYL', 'Appel', 'Mons', 's10', 'Fuxzo', '.', 'CON', 'LICENZ', '.', '4', 'DE', 'SUPER', 'IONE', 'a', 'M1', ',']",['venezia'],Venice,45.43713,12.33265,['venezia'],giusiinian,Venice,Teatro Giustinian Venice,45.434000499999996,12.328373205309001,Teatro Giustinian,Cesare in Egitto,37228,Not found,dramma,Not found,http://dl.cini.it/collections/show/792
1,data_241.json,"Fernando nel Messico, dramma per musica da rappresentarsi nel Teatro Venier in San Benedetto il carnovale dell'anno 1798",1798,"['|', 'Podreegueo', 'MANDO', 'neMESS1C2', 'A798', 'Wb', ':', 'FERNANDO', 'NEL', 'MESSICO', 'DRAMMA', 'PER', 'MUSICA', 'NEL', 'TEATRO', 'VENIER', 'IN', 'SAN', 'BENEDETTO', 'Tt', 'Carnovale', 'dell', '’', 'Anno', '1798', 'VENEZIA', '1798', 'Em', 'a1', '.', '0553', '.', '08', '5', 'ARGOMENTO', '.', 'Liorché', 'T', 'armata', 'Spagnucla', 'comane', 'ata', 'dal', 'valoroso', '¢', 'prudonte', 'Fer', '-', 'ado', 'Cortes', 'giunse', 'ad', 'impossessarsi', 'del', '-', 'Ja', 'Gitth', 'di', 'Messico', ',', 'Capitile', 'ai', 'quel', 'vax', 'sto', '©', 'ricco', 'Impero', 'del', 'nuovo', 'Monto', ',', 'se', 'deva', 'sul', '‘Troto', 'Quauhtomotzia', ',', 'a', 'cui', 'nel', '.', 'presente', 'Dramma', 'per', 'comodo', 'dell', ':', 'Poesia', ',', 'non', 'meno', 'che', 'della', 'Musica', ',', 'ot', '4', 'caneato', 'il', 'nome', 'in', 'quello', 'di', 'Telco', ',', 'Dutd', 'Vasedio', '76', 'giomi', ',', 'csi', 'rese', 'som', '‘re', 'pid', 'formidable', 'dalle', 'pare', 'doit', 'Ace', 'gressori', 'per', 'W', ""'"", 'immeoso', 'numero', 'di', 'Alleati', 'Amezicani', ',', 'che', 'si', 'unitona', 'al', 'Campo', 'Spa', '-', 'gouty', ',', 'fea', 'i', 'quali', 'i', 'pit', 'terribill', 'faro', '-', 'fo', 'i', 'Tlaseallesi', ',', '6', ')', 'per', 'Ia', 'moltitudine', '»', 'che', 'por', 'la', 'ferocia', ',', 'mentre', 'Ia', 'Repubblica', 'i', 'Tiaseala', 'era', '1a', 'pits', 'potonte', '&', 'la', '.', 'pit', 'Paes', 'neni', 'et', 'Mesicnt', 'Hee', 'il', 'glovane', 'Monatca', 'ogni', 'sforzo', 'per', 'difen', '-', 'dil', ',', 'e', ',', 'sehbeno', 'vedeme', 'git', 'eopuganta', 'gual', 'tutta', '1a', 'Citi', ',', 'ed', 'ali', 'steso', 'at', 'foste', 'rifagiato', 'in', 'un', 'angolo', 'dla', 'made', 'sia', ',', 'dov', '?', 'era', '1a', 'sua', 'mal', 'difesa', 'Reggia', ',', 'Pure', 'ricasd', 'pit', 'volte', 'i', 'trattati', 'dictexd', 'offertighi', 'dal', 'generoso', 'Gapitina', '.', '.', 'Kipal', '-', '[', 'mente', 'soguita', 'Ta', 'presa', 'del', 'Messito', 'il', 'at', '15', 'Agosto', '1531', '.', 'fu', 'fatto', 'anch', '’', 'eglt', 'pri', 'atte', 'co', 'St', 'Regio', 'Teens', 'poss', ',', 'alla', 'quale', 'si', '¢', 'pure', 'cangiato', 'ik', 'Ag', 'Doe']","['venezia', 'venezia', 'venetia', 'reggio']",Venice,45.43713,12.33265,"['venezia', 'venezia', 'venetia', 'reggio']",Not found,Venice,Teatro Venier Venice,45.4356594,12.3561012,Teatro Venier,Fernando nel Messico,93977,211636,dramma,carnovale dell'anno 1798,http://dl.cini.it/collections/show/541
2,data_6.json,"Adelaide di Borgogna, melodramma serio in due atti di Luigi Romanelli, musica di Pietro Generali. Da rappresentarsi in Venezia nel Teatro di San Benedetto la primavera 1829",1829,"['2d', 'luh', 'By', 'pdereLe', 'xf', ',', 'PRADO', 'oR', 'pi', 'oie', 'oe', 'este', 'ADELAIDE', 'Co', 'eee', 'k', ':', ';', 'i', 'k', 'BORGOGNA', '.', ':', 'i', 'i', 'i', 'i', 'CORI', 'OR', 'OR', 'i', 'DR', 'de', 'et', 'ADELAIDE', '‘DI', 'BORGOCNA', '(', 'MELODRAMMA', 'SERIO', 'IN', 'DUE', 'ATTT', 'LUIG', '!', 'ROMANELLI', '.', 'MUSICA', 'DI', 'PIETRO', 'GENERALT', '‘DA', 'RAPERESENTARSIIN', 'VENEZIA', 'NEL', 'TEATRO', 'DI', 'SAN', 'BENEDETTO', 'LA', 'PRIMAVERA', '1820', ':', '“VENEIa', '‘pinta', 'worn', '.', 'ait', '.', 'mast', '.']","['venezia', 'roma', 'venezia', 'venetia', 'venezia', 'venetia']",Venice,45.43713,12.33265,"['venezia', 'roma', 'venezia', 'venetia', 'venezia', 'venetia']",Pietro Generali,Venice,Teatro di San Benedetto Venice,Not found,Not found,Teatro di San Benedetto,Adelaide di Borgogna,721868,3759578,melodramma,Not found,http://dl.cini.it/collections/show/938
3,data_1013.json,"S. Elena al Calvario, componimento sacro per musica applicato al SS. Sepolcro, e cantato nell'augustissima cappella della sac. ces., e catt. real maestà di Carlo 6. imperadore de' romani sempre augusto l'anno 1731. La poesia è del Sig. Abbate Pietro Metastasio. Poeta di S. M. Cef., e Cattolica. La musica è del Sig. Antonio Caldara, Vice-Maestro di Cappella di S. M. Ces. e Cattolica.",1731,"['ee', 'SoukdigEeNsA', 'CALVARIO', '.', 'COMPONIMENTO', 'SACRO', 'PER', 'MUSICA', 'APPLICATO', 'SS', '.', 'SEPOLCRO', ':', 'E', 'CANTATO', 'NELL', ""'"", 'AUGUSTISSIMA', 'CAPPELLA', 'DELLA', 'SAC', '.', 'CES', '.', ',', 'ECATT', '.', 'REAL', 'MAESTA', 'Di', 'CARLO', 'VL', 'IMPERADORE', 'DE', '’', 'ROMANI', 'SEMPRE', 'AUGUSTO', 'ANNO', 'MDCCX']",['roma'],Rome,41.89193,12.51133,['roma'],Antonio,Rome,cappella della sacro ces Rome,Not found,Not found,cappella della sacro ces,S. Elena al Calvario,229473,1645608,componimento sacro,Not found,http://dl.cini.it/collections/show/55
4,data_852.json,"La vera costanza dramma giocoso per musica da rappresentarsi nel Teatro Zagnoni in Bologna l'autunno dell'anno 1780. Dedicato all'e.mo, e r.mo signor cardinale Ignazio Boncompagni Ludovisi degnissimo legato a latere di questa città",1780,"['ANF', 'OSS', '!', 'LA', 'VERA', 'COSTANZA', 'Itke', ':', 'LA', 'Send', '|', 'COSTANZA', 'Dramma', 'giocofo', 'per', 'Mufica', 'DA', 'RAPPRESENTARSI', 'F', 'NEL', 'TEATRO', 'ZAGNONI', 'Re', 'IN', 'BOLOGNA', '|', '‘L', '’', 'Autunno', 'dell', '’', 'Anno', '1780', ';', '[', 'jp', '_', 'aedese', 'ante', ',', '«', 'to', 'sigan', 'CARDINALE', '-', 'IGNAZIO', 'BONCOMPAGNT', 'if', 'LuDOVIsS', '!', 'Degnifimo', 'Legato', '2', 'Latere', '‘', 'ai', 'qoefis', 'Cita', '.', '|', 'alee', '“Tamme', 'ada', 'jem', '|', 'OMe', '‘']","['bologna', 'bologna']",Bologna,44.49381,11.33875,"['bologna', 'bologna']",Not found,Bologna,Teatro Zagnoni Bologna,44.4698796,11.1005849,Teatro Zagnoni,La vera costanza,5274786,211636,dramma,Not found,http://dl.cini.it/collections/show/877
6,data_655.json,"L' occasione fa il ladro burletta per musica da rappresentarsi per la prima volta nel Teatro Giustiniani in san Moisè nell'autunno dell'anno 1812. Parole di Luigi Prividali. Musica di Gioachino Rossini, pesarese",1812,"['L', ""'"", 'OCCASIONE', 'FA', 'IL', 'LADRO', 'BURLEITA', 'PER', 'MUSICA', 'PER', 'LA', 'PRIMA', 'VOLTA', 'NEL', 'TEATRO', 'GIUSTINIANI', 'IN', 'SAN', 'MOISE', 'Noll', 'Astin', 'dell', 'Ano', '882', 'Porste', ',', '8', 'Tail', 'Pavia', '.', 'Muzica', ',', 'ai', 'Gionching', 'Rosin', ',', 'Bias', '.', 'IN', 'VENELIA', 'Mees', 'Stameznia', 'Misi']","['pavia', 'venezia', 'venetia']",Pavia,45.19205,9.15917,"['pavia', 'venezia', 'venetia']",Not found,Pavia,Teatro Giustiniani Pavia,45.4337096,12.3338572,Teatro Giustiniani,L' occasione fa il ladro burletta,739953,211636,Not found,Not found,http://dl.cini.it/collections/show/543
7,data_579.json,L' Olimpiade dramma per musica da rappresentarsi nel Regio Teatro di Torino nel carnovale del 1765. Alla presenza di S.S.R.M.,1765,"['LOLIMPIADE', 'DRAMMA', 'PER', 'MUSICA', 'DA', '.', 'RAPPRESENTARSI', 'NEL', 'REGIO', 'TEATRO', 'DI', 'TORINO', 'NEL', 'CARNOVALE', 'dal', '1765', '.', 'ALLA', 'PRESENZA', '5S', '.', '5', '.', 'Ro', 'Me', 'Pretlo', 'GASPARE', '.', 'i', '‘ella', 'Socitd', 'de', 'Signott', 'Caalet', '.']","['torino', 'reggio', 'torino']",Turin,45.07049,7.68682,"['torino', 'reggio', 'torino']",Not found,Turin,Teatro di Torino Turin,45.07059235,7.6879559283316246,Teatro di Torino,L' Olimpiade,4624,211636,dramma,Olimpiade,http://dl.cini.it/collections/show/331
8,data_610.json,L'arbore di Diana a comic opera in two acts as represented at the King's Theatre in the Hay Market. The poetry by Lorenzo Da Ponte. The music by Martini,1797,"['DRanars', 'riniona', '.', 'aie', 'Ramen', ',', 'Argomento', ',', 'Saiaaeromate', 'einen', 'ote', 'Ca', 'ae', 'ates', 'ee', 'SE', 'dive', 'prota', 'ath', 'el', 'rember', 'lh', 'ga', 'aman', 'ene', 'ee', 'SE', 'eo', 'toeaal', 'plata', 'pimeoneay', ':', 'Sanger', 'Bae', 'ess', 'cael', 'Oo', 'fee', 'EE', 'fe', '9', 'tal', 'ti', ',', 'ill', 'ett', 'Oe', 'realy', 'See', 'als', 'Te', 'ae', 'ee', 'ee', 'cast', '6', 'eee', 'ta', 'ebm', ':', 'The', 'Argument', '.', 'OM', 'TPA', 'sx', 'ws', 'oper', 'tappotaat', 'Diam', ',', '‘io', 'ively', 'ahnowleged', 'the', 'Goa', 'tet', 'of', 'Cat', ',', 'a', 'plented', 're', 'sader', '‘hich', 'hor', 'Ny', 'ly', 'pled', 'to', 'give', 'Fool', 'of', 'er', 'cay', ',', 'fo', 'We', 'manoct', 'a', 'I', 'Mexpaned', 'ie', 'proge', 'ofthe', 'dane', '{', 'Love', 'ig', 'AUG', 'ws', 'vention', ',', 'pe', 'strate', 'unperesved', 'it', 'the', 'garden', 'ne', 'fais', 'of', '+', 'Shephedte—be', 'mars', 'the', 'har', 'ofits', 'Conds', ',', 'ho', 'images', 'Rim', 'er', '-', 'Sino', 'by', 'the', 'Dei', '1', 'at', 'ooxndles', 'ie', 'toe', 'the', 'rare', 'alte', 'mgbi', '=', 'prtsallsbe', 'pon', 'of', 'hi', 'Gol', 'io', 'onfafon', '~', 'snd', 'fo', 'eompcte', 'bin', 'venga', ',', 'Ins', 'pices', 'rw', 'ove', 'or', 'Eine']",['roma'],Rome,41.89193,12.51133,['roma'],Not found,Rome, Rome,Not found,Not found,Not found,L'arbore di Diana a comic,635776,211636,opera,Not found,http://dl.cini.it/collections/show/989
9,data_586.json,"L' amante anonimo, farsa giocosa per musica di Giuseppe Foppa da rappresentarsi nel nobilissimo Teatro in San Moise' l'autunno dell'anno 1803",1803,"['O18', '.', 'L', ""'"", 'AMANTE', 'ANONIMO', 'FARSA', 'GIOCOSA', 'PER', 'MUSICA', 'DI', 'GIUSEPPE', 'FOPPA', '|', 'DA', 'RAPPRESENTARSE', 'NEL', 'NOBILISSIMO', 'TEATRO', 'IN', 'SAN', 'MOISE', 'E', 'dstunse', 'dei', '?', 'duno', 'x03', '.', 'wom', 'IN', 'VENEZIA', 'PER', 'IL', 'CASALE', 'Con', 'Bekmissione', '.']","['venezia', 'casale']",Venice,45.43713,12.33265,"['venezia', 'venezia', 'venetia']",Giuseppe Foppa,Venice, Venice,Not found,Not found,Not found,L' amante anonimo,1193758,72510,farsa,Not found,http://dl.cini.it/collections/show/524
10,data_312.json,"I Capuleti e i Montecchi, tragedia lirica da rappresentarsi nel Gran Teatro La Fenice il carnovale dell'anno 1830",1830,"['BELLINY', '36', '.', 'LG', 'wlat', ',', 'of', '2', 'dd', 'hatecli', ',', 'I', 'CaRU', 'LE', 'I', 'MONTECCHI', 'TRAGEDIA', 'LIRICA', 'NEL', 'GRAN', 'TEATRO', 'LAFENICE', '2', 'Camovate', 'det', '?', 'Anno', '1130', ',', 'IN', 'VENEZIA', 'Dawa', 'ruconana', 'casts', '.', 'es']","['venezia', 'venezia', 'venetia']",Venice,45.43713,12.33265,"['venezia', 'venezia', 'venetia']",Not found,Venice,Teatro La Fenice Venice,45.4337096,12.3338572,Teatro La Fenice,I Capuleti e i Montecchi,199341,211636,tragedia,carnovale dell'anno 1830,http://dl.cini.it/collections/show/132
11,data_633.json,"L' incognita perseguitata dramma giocoso per musica da rappresentarsi nel nobile Teatro di Udine il carnovale 1780. Umiliato alle gentili nobiliss.me dame, ed egregj nobiliss.mi cavalieri di detta citta'",1779,"['L', 'INCOGNITA', 'PERSEGUITATA', 'DRAMMA', 'GIOCOSO', 'PER', 'MUSICA', 'Da', 'Rapprefenterfi', '‘Net', 'Nosite', 'Teatro', 'pt', 'Unive', 'Ml', 'Carmovale', '1780', '.', 'UMILIATO', 'ALLE', 'GENTILI', 'NOBILISs', '.', '“', '*', 'DAME', ',', 'ED', 'EGREG', ']', 'NOBILISs', '.', '“', '""', 'CAVALIERI', 'DI', 'DETTA', 'CiTTA', '.', 'ne', 'at', 'et', 'aaah', 'eb', 'In', 'UDINE', ',', 'per', 'ti', 'Frat', 'Marero', '.', 'CON', 'LICENZ', '.', 'A', 'DE', 'SUPERIORI', '.', 'ro', '3', 'NOBILISSIME', 'GENTILI', 'DAME', ',', 'eD', 'EGREGJ', 'NOBILISS', '.', 'CAVALIERI', '.', 'Lc', '.', 'puttico', 'comparimeno', '5', '.', 'rife', 'daito', 'feorfo', 'Dramme', 'initolato', 'Ti', ',', 'Massro', '1', 'Sosperro', 'da', 'me', 'efplofiaquefle', 'Misr', 'Seem', 'ne', 'maida', 'cvaggio', 'di', 'efporreceleremente»', 'che', 'il', 'fecando', ',', 'che', 'porta', 'per', 'stole', 'Ls', 'Twco', '-', 'aura', 'Pensecurrata', '«Nine', 'fade', 'le', '-', 'Seiai', 'intemata', 'onde', 'rendero', '.', 'degra', 'dell', 'wn', '‘erfile', 'aggradimento', '.', 'Egli', '®', 'a', 'eilifios', 'Mafia', '¢', 'tutte', 'quell', 'arredo', 'miglione', 'con']",['udine'],Udine,46.0693,13.23715,['udine'],Not found,Udine,Teatro di Udine Udine,Not found,Not found,Teatro di Vicenza,L' incognita perseguitata,7527818,211636,dramma,carnovale 1780,http://dl.cini.it/collections/show/876
12,data_1092.json,"Una cosa rara, ossia Bellezza, ed Onestà, dramma giocoso per musica. Da rappresentarsi nel Teatro Grande alla Scala l'autunno dell'anno 1787. Dedicato alle LL. AA. RR. il Serenissimo Arciduca Ferdinando. Principe reale d'Ungheria ... e la Serenissima Arciduchessa Maria Ricciarda Beatrice d'Este. Principessa di Modena.",1787,"['eR', 'UNA', 'COSA', 'RARA', 'OSStA', 'BELLEZZA', ',', 'ED', 'ONESTA', '’', 'DRAMMA', 'GlOCOso', 'PER', 'MUSICA', 'DA', 'RAPPRESENTARS', '!', 'NEL', 'TEATRO', 'GRANDE', 'ALLA', 'SCALA', 'LE', 'Sarwrne', 'del', '!', 'anv', '07', '87', '.', 'pepieaTo', '’', 'Alle', 'LL', ',', 'AA', ',', 'RR', '.', 'IL', 'SERENISSIMO', 'ARCIDUCA', 'FERDINANDO', 'Pncipe', 'Reale', '&', 'Ungeria¢', 'Boomin', ',', 'Arioca', 'Aufa', ',', '‘Blea', 'Borpoests¢', 'at', 'Lore', 'cx»', 'Cetrvo', 'Ree', '‘ange', 'Hetele', ',', 'Governance', 'eatzale', 'nels', 'Lombardia', 'Awfiinea', ',', 'BLA', 'SERENISSIMA', 'ARCIDUGHESSA', '.', 'MARIA', 'BICCIARDA', 'BEATRICE', 'D', 'ESTE', 'PRINCIPESSA', 'DI', 'MODENS', '.', 'IN', 'MILANO', 'Appreffo', 'Gio', ',', 'Batifla', 'Bianchi', 'Regio', 'Stampatore', 'Cella', 'Permifione', '.']","['milano', 'milano', 'reggio']",Milan,45.46427,9.18951,"['milano', 'milano', 'reggio']",Not found,Milan,Teatro Grande alla Scala Milan,Not found,Not found,Teatro Grande alla Scala,"Una cosa rara, ossia Bellezza, ed Onestà",4748196,211636,dramma,Not found,http://dl.cini.it/collections/show/986
15,data_291.json,"Gli amanti alla prova, dramma giocoso per musica di Giovanni Bertati. Da rappresentarsi nel Teatro Giustiniani in San Moisè per la prima opera del carnovale 1784",1783,"['GLI', 'AMANTI', 'ALLA', 'PROVA', 'DRAMMA', 'GlOCoso', 'PER', 'MUSICA', 'DI', 'GIOVANNI', 'BERTATI', 'DA', 'RAPPRESENTARST', 'NEL', 'TEATRO', 'GIUSTINIANT', 'IN', 'SAN', 'MOISE', 'PER', 'LA', 'PRIMA', 'OPERA', 'DEL', 'GARNOVALE', 'wt', ',', 'IN', 'VENEZIA', ',', 'MDOCLXXXIL']","['venezia', 'venezia', 'venetia']",Venice,45.43713,12.33265,"['venezia', 'venezia', 'venetia']",Giovanni Bertati,Venice,Teatro Giustiniani Venice,45.4337096,12.3338572,Teatro Giustiniani,Gli amanti alla prova,243164,3656356,dramma,carnovale 1784,http://dl.cini.it/collections/show/165
16,data_565.json,L' Ernelinda dramma per musica da rappresentarsi nel Teatro di S. Sebastiano nel presente autunno dell'anno 1729. Sotto la protezine dell'altezza reale del sereniss. Gio. Gastone 1. gran duca di Toscana,1729,"['DR', '&', 'MMA', 'PER', 'MUSICA', 'Da', 'rapprefentarti', 'IN', 'LIVORNO', 'NEL', 'TEATRO', 'F', 'DI', '§', '.', 'SEBASTIANO', 'Nel', 'prefente', 'Autunno', 'dell”', 'Anno', '1729', '.', 'SOTTO', 'LA', 'PROTEZIONE', 'Dell', '!', 'Altezoa', 'Reale', 'del', 'Serenifi«', 'IN', 'LUCCA', '1719', '.', '—', '=', 'Domenico', 'Ghutfetd', '»', 'ON', 'LICENZA', 'DE', 'ston', 'OE']","['livorno', 'lucca']",Livorno,43.54427,10.32615,"['livorno', 'lucca']",Not found,Livorno,Teatro di san Sebastiano Livorno,Not found,Not found,Teatro di Canal Regio,L' Ernelinda,7845287,211636,dramma,Not found,http://dl.cini.it/collections/show/799
17,data_64.json,Antigona in Tebe dramma per musica da rappresentarsi nel Real Teatro di S. Carlo nell'està dell'anno 1755. Alla maestà del Re nostro invitto sovrano dedicato,1755,"['ANTIGONA', '.', 'IN', 'TEBE', 'DRAMMA', 'PER', 'MUSICA', 'DA', 'RAPPRESENTARSE', 'Nel', 'Real', 'Teatro', 'di', 'S', '.', 'Carlo', 'nell', '’', '£22', 'dell', '’', 'anno', '1755', '.', 'ALLA', 'MAESTA', 'DRL', 'RE', 'NOSTRO', 'INVITTO', 'SOVRANO', 'DEDICATo', ',', 'IN', 'NAPOLI', 'MDcCLy', ',', 'Pre', 'Domenico', 'Lawciawo', 'fe', 'SR', 'Ea', 'Ror', 'cores', 'SACRA', 'REAL', 'MAESTA', '’', '.', 'SIGNORE', ':', 'Fferifco', ';', '¢', '\\', 'prefento', 'il', 'Drama', 'del', 'PAwricoxa', 'alla', 'M', '.', 'V', '.', ';', 'incuiri', '-', 'fplendono', 'alcune', 'di', 'quelle', 'eroiche', 'virtti', ',', 'le', 'quali', 'in', 'numero', 'aa', 'abe', '«', 'gma', 'in', 'Ifcena', ';', 'ma', 'in', '-', 'abbondante', ',', '€', 'pet', '-', '|', 'na', ',', 'in', '’', 'cui', 'Ie', 'Reali', 'fettiflimo', 'adornano', ']', 'Macha', 'fogliono', 'di', 'il', 'Voftro', 'Generofo', ',', 'prefenza', 'onorare', ',', '¢', 'c', 'Real', 'Animo', ':', 'una', 'sender', 'pit', '’', 'magnifi', '-', 'ben', 'leggitima', 'cag', '-', '|', 'co', '5', 'luminofo', 'il', 'gione', 'ha', 'impedito', '5', ']', 'R', 'cal', 'Teatro', ':', 'Sicom', '-', 'che', 'fi', 'produceflepriy', 'piaccia', 'la', '.', 'M', '.', 'S', '.', 'di', 'gradire', 'un', 'picciolo', 'fegno', 'dal', 'mio', 'pro', '-', 'pit', '.', 'maturo', 'per', '|', 'fondiflimo', 'ofléquio', ',', 'giorno', 'del', 'Nome', 'fe', 'e', 'pregandole', 'fempre', 'liciffimo', 'della', 'noftra', 'dai', 'Ciclo', 'ogni', 'mag', '-', 'Auguftiflima', 'Regitgior', 'profperiei', ',', 'a3', 'Huo', 'tanto', 'fi', 'trovera', 'Egl', '7']","['napoli', 'napoli']",Naples,40.85216,14.26811,"['napoli', 'napoli']",Not found,Naples,Teatro di san Carlo Naples,Not found,Not found,Teatro di san Carlo,Antigona in Tebe,690906,211636,dramma,Not found,http://dl.cini.it/collections/show/939
19,data_745.json,"La donna innamorata, dramma giocoso per musica di Giovanni Bertati [...] da rappresentarsi nel nobilissimo teatro Giustiniani in San Moisè il carnovale dell'anno 1796 / [musica di Giuseppe Niccolini]",1796,"['LA', 'DONNA', 'INNAMORATA', 'DI', 'GIOVANNI', 'BERTATI', 'rk', '5', 'SE', 'A', 'sa', 'garmntenran', 'Net', 'Nesisissimo', 'Trarne', 'GIUSTINIANI', 'IN', 'SAN', 'MOISE', 'Hi', 'Carorale', 'de', '?', 'Anno', '1796', 'wrest', 'Heck', 'weer', 'IN', 'vENEZrA', 'ee']",['venezia'],Venice,45.43713,12.33265,['venezia'],Giuseppe Niccolini,Venice, Venice,Not found,Not found,Not found,La donna innamorata,453882,3891787,dramma,carnovale dell'anno 1796 /,http://dl.cini.it/collections/show/469
20,data_795.json,"La moglie capricciosa, dramma giocoso per musica da rappresentarsi in Senigallia nel Teatro de' signori condomini nella fiera dell'anno 1797. Dedicato a sua eccelleanza r.ma monsignor Ferdinando Saluzzo presidente di Urbino",1797,"['A', 'Abhi', 'Counter', '197', 'LA', '.', 'MOGLIE', 'CAPRICCIOSA', 'Drama', 'siscefe', 'per', 'Mulica', 'Da', 'nhroMEsENTARST', 'in', 'SENIGALLIA', 'NEL', 'TEATRO', 'DE', '’', 'SIGNORT', 'CONDOMINI', '‘Nella', 'Fiera', 'dell', 'Anns', '1797', '+', ',', '7', 'pia', 'ott', 'Ato', '!', 'A', 'Sad', 'Eee', 'Bia', 'Monfyine', 'FERDINANDO', 'SALUZZO', 'x', 'TREADENTE', 'DY', 'UREINO®', 'Aes', 'a', 'SINIGAGLIA', ',', 'MDSEXC', 'VI', 'PEL', 'LAZZORUNES', 'oN', 'FERMLEO']",['senigallia'],Senigallia,43.71626,13.20882,['senigallia'],Not found,Senigallia, Senigallia,Not found,Not found,Not found,La moglie capricciosa,5272875,211636,dramma,la fiera dell'anno 1797,http://dl.cini.it/collections/show/1012
21,data_17.json,Agesilao dramma per musica da rappresentarsi nel nobilissimo Teatro Venier in San Benedetto il carnovale dell'anno 1788,1787,"['AGESTPAD', 'DRAMMA', 'PER', 'MUSICA', '{', 'PDA', 'RAPPRESENT', 'ARSE', 'y', 'wey', 'RomiissiMo', 'TEATRO', 'SV', 'ENTER', 'IN', 'SAN', 'BENEDETTO', '{', 'IL', 'GARNOVALE', 'DELL', '’', 'ANNO', '178', '%', 'ae', 'BEIT', 'whe', 'xe', 'TN', 'VENEZIA', ',', 'MDCCLYXXVIL', 'OOOO', 'DOOD', '‘Arenesso', 'Mopesto', 'Frnzo', '-']","['venezia', 'venezia', 'venetia']",Venice,45.43713,12.33265,"['venezia', 'venezia', 'venetia']",Not found,Venice,Teatro Venier Venice,45.4356594,12.3561012,Teatro Venier,Agesilao,4652505,211636,dramma,carnovale dell'anno 1788,http://dl.cini.it/collections/show/51
22,data_895.json,"Leonora. Azione romantica in un prologo e tre atti. Parole di A. Zanardini, musica di Gian Raimondo Serponti. Venezia Teatro La Fenice, carnevale 1885-86, impresa Piontelli-Rho",1885,"['np', '@', 'yian', '‘Haimondo', 'Seypents', 'a', 'eee', 'A', '.', 'Banardini', 'LEONORA', 'A', ',', 'ZANARDINE', 'GIAN', 'RAIMONDO', 'SERPONTI', 'WENEZIA', '-', 'TEATRO', 'LA', 'FENICE', 'Coast', '1885', '-', '26', 'Igoe', 'PLONTELAL', 'RO', 'ROL', '.', '0643', '.', '42', 'Propels', 'por', 'tutti', 'pes', '.', '~', 'Dapesto', '.', 'Eat', ',', 'Sta', ',', 'Hall', 'Divit', 'i', 'tradusione', 'riservet', ',', 'PERSONAGGI', 'trevor', 'Ln', 'Oe', 'coma', ',', 'ety', 'Lagan', 'Co', 'onerny', 'Mask', ',', '=', 'Cae', 'Yr', 'yn', 'pt»', 'ia', 'Bie', 'Dr', 'DRAMA', '.', 'pons', ',', 'fd', 'Wai', 'weary', 'Ba', 'es', 'tes', 'Cone', 'ABIMIG', ',', 'See', 'Tie', 'Bonne', '=', '5', '=', '5', 'di', 'ant', '“ALDO', ',', 'jg', 'Lees', 'nce', 'Ham', 'Alia', 'Zee', 'HANS', 'meio', '9', 'ear', 'Ce', 'gre', 'if', 'ESCUWAI', ',', 'set', 'ott', 'fore', 'ips', 'Cate', 'WOLEANGO', ',', 'bari', 'eg', 'NS', 'con', 'Yoana', 'di', 'ino', '~', 'Sine', '~', 'Ou', '—', 'Nope', 'Fea', 'nen', '=', 'Scat', 'it', '=', 'Coie', '0', 'oe', '—', 'Macsuo', 'concernore', ':', 'Gav', '.', 'Riceardo', 'Drigo', ',', '—']","['bari', 'venezia']",Bari,41.12066,16.86982,"['bari', 'venezia']",Gian Raimondo Serponti,Bari,Teatro La Fenice Bari,45.4337096,12.3338572,Teatro La Fenice,Leonora,7839053,8495,azione sacra,"carnevale 1885-86, impresa",http://dl.cini.it/collections/show/708
